Time,Healthy,Osteoarthritic
4895,-0.4168,-0.666
4900,-0.4168,-0.666
4905,-0.4168,-0.666
4910,-0.4172,-0.667
4915,-0.4172,-0.668
4920,-0.4172,-0.668
4925,-0.4176,-0.667
4930,-0.4172,-0.668
4935,-0.4172,-0.667
4940,-0.4176,-0.668
4945,-0.4176,-0.668
4950,-0.4176,-0.668
4955,-0.4176,-0.668
4960,-0.4176,-0.669
4965,-0.4176,-0.669
4970,-0.4176,-0.669
4975,-0.4176,-0.669
4980,-0.4176,-0.669
4985,-0.418,-0.669
4990,-0.418,-0.669
4995,-0.4176,-0.669
5000,-0.4184,-0.67
5005,-0.418,-0.67
5010,-0.4184,-0.669
5015,-0.418,-0.67
5020,-0.418,-0.671
5025,-0.4184,-0.671
5030,-0.418,-0.671
5035,-0.418,-0.671
5040,-0.4184,-0.671
5045,-0.4184,-0.671
5050,-0.4184,-0.671
5055,-0.4184,-0.671
5060,-0.4188,-0.67
5065,-0.4184,-0.672
5070,-0.4184,-0.672
5075,-0.4188,-0.672
5080,-0.4188,-0.672
5085,-0.4188,-0.672
5090,-0.4188,-0.672
5095,-0.4188,-0.672
5100,-0.4188,-0.673
5105,-0.4188,-0.672
